Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LEGAL PERMANENT RESIDENT STATUS BY REGION AND SELECTED COUNTRY OF LAST RESIDENCE: FISCAL YEARS 1820 TO 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of last residence 1,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,,Region and country of last residence 1,     Total,Europe," Austria-Hungary 2, 3, 4 ","   Austria 2, 4",   Hungary 2,Belgium,Bulgaria 5 ,Czechoslovakia 6,Denmark,Finland  ,France 7,"Germany 3, 4",Greece,Ireland 8,Italy,Netherlands,Norway-Sweden 9,   Norway 9,   Sweden 9,Poland 3,Portugal 10 ,Romania ,"Russia 3, 11",Spain 12,Switzerland,"United Kingdom 8,13",Yugoslavia 14,Other Europe,Asia,China,Hong Kong ,India,Iran ,Israel ,Japan ,Jordan ,Korea 15,Philippines ,Syria ,Taiwan ,Turkey,Vietnam ,Other Asia,America,"Canada and Newfoundland 16, 17","Mexico 17,18",Caribbean,Cuba ,Dominican Republic ,Haiti ,Jamaica 19,Other Caribbean 19,Central America,Belize ,Costa Rica ,El Salvador ,Guatemala ,Honduras ,Nicaragua ,Panama 20,Other Central America ,South America,Argentina ,Bolivia ,Brazil ,Chile ,Colombia ,Ecuador ,Guyana ,Paraguay ,Peru ,Suriname ,Uruguay ,Venezuela ,Other South America ,Other America 21,Africa,Egypt ,Ethiopia ,Liberia ,Morocco ,South Africa ,Other Africa,Oceania,Australia ,New Zealand ,Other Oceania,"Not Specified 21, 22"
     Total,"128,502","538,381","1,427,337","2,814,554","2,081,261","2,742,137","5,248,568","3,694,294","8,202,388","6,347,380","4,295,510","699,375","856,608","2,499,268","3,213,749","4,248,203","6,244,379","9,775,398","10,299,430","1,042,625",,1820 to 1829,"128,502","99,272",-,-,-,28,-,-,173,-,"7,694","5,753",17,"51,617",430,"1,105",91,-,-,19,177,-,86,"2,595","3,148","26,336",-,3,34,3,-,9,-,-,-,-,-,-,-,-,19,-,3,"9,655","2,297","3,835","3,061",-,-,-,-,"3,061",57,-,-,-,-,-,-,-,57,405,-,-,-,-,-,-,-,-,-,-,-,-,405,-,15,-,-,1,-,-,14,3,2,-,1,"19,523"
Europe,"99,272","422,771","1,369,259","2,619,680","1,877,726","2,251,878","4,638,677","3,576,411","7,572,569","4,985,411","2,560,340","444,399","472,524","1,404,973","1,133,443","825,590","668,866","1,348,612","1,348,904","95,379",,1830 to 1839,"538,381","422,771",-,-,-,20,-,-,927,-,"39,330","124,726",49,"170,672","2,225","1,377","1,149",-,-,366,820,-,280,"2,010","4,430","74,350",-,40,55,8,-,38,-,-,-,-,-,-,-,-,8,-,1,"31,905","11,875","7,187","11,792",-,-,-,-,"11,792",94,-,-,-,-,-,-,-,94,957,-,-,-,-,-,-,-,-,-,-,-,-,957,-,50,-,-,8,-,-,42,7,1,-,6,"83,593"
" Austria-Hungary 2, 3, 4 ",-,-,-,-,"3,375","60,127","314,787","534,059","2,001,376","1,154,727","60,891","12,531","13,574","113,015","27,590","20,387","20,437","27,529","33,929","4,325",,1840 to 1849,"1,427,337","1,369,259",-,-,-,"3,996",-,-,671,-,"75,300","385,434",17,"656,145","1,476","7,624","12,389",-,-,105,196,-,520,"1,916","4,819","218,572",-,79,121,32,-,33,-,-,-,-,-,-,-,-,45,-,11,"50,516","34,285","3,069","11,803",-,-,-,-,"11,803",297,-,-,-,-,-,-,-,297,"1,062",-,-,-,-,-,-,-,-,-,-,-,-,"1,062",-,61,-,-,5,-,-,56,14,2,-,12,"7,366"
"   Austria 2, 4",-,-,-,-,"2,700","54,529","204,805","268,218","532,416","589,174","31,392","5,307","8,393","81,354","17,571","14,239","15,374","18,234","21,151","3,319",,1850 to 1859,"2,814,554","2,619,680",-,-,-,"5,765",-,-,"3,227",-,"81,778","976,072",32,"1,029,486","8,643","11,122","22,202",-,-,"1,087","1,299",-,423,"8,795","24,423","445,322",-,4,"36,080","35,933",-,42,-,-,-,-,-,-,-,-,94,-,11,"84,145","64,171","3,446","12,447",-,-,-,-,"12,447",512,-,-,-,-,-,-,-,512,"3,569",-,-,-,-,-,-,-,-,-,-,-,-,"3,569",-,84,-,-,7,-,-,77,166,15,-,151,"74,399"
   Hungary 2,-,-,-,-,483,"5,598","109,982","203,350","685,567","565,553","29,499","7,224","5,181","31,661","10,019","6,148","5,063","9,295","12,778","1,006",,1860 to 1869,"2,081,261","1,877,726","3,375","2,700",483,"5,785",-,-,"13,553",-,"35,938","723,734",51,"427,419","9,853","8,387","82,937",-,-,"1,886","2,083",-,"1,670","6,966","21,124","532,956",-,9,"54,408","54,028",-,50,-,-,138,-,-,-,-,-,129,-,63,"130,292","117,978","1,957","8,751",-,-,-,-,"8,751",70,-,-,-,-,-,-,-,70,"1,536",-,-,-,-,-,-,-,-,-,-,-,-,"1,536",-,407,4,-,43,-,35,325,187,-,-,187,"18,241"
Belgium,28,20,"3,996","5,765","5,785","6,991","18,738","19,642","37,429","32,574","21,511","4,013","12,473","18,885","9,647","5,413","7,028","7,077","8,157",732,,1870 to 1879,"2,742,137","2,251,878","60,127","54,529","5,598","6,991",-,-,"29,278",-,"71,901","751,769",209,"422,264","46,296","14,267","178,823","88,644","90,179","11,016","13,971",-,"35,177","5,540","25,212","578,447",-,590,"134,128","133,139",-,166,-,-,193,-,-,-,-,-,382,-,248,"345,010","324,310","5,133","14,285",-,-,-,-,"14,285",173,-,-,-,-,-,-,-,173,"1,109",-,-,-,-,-,-,-,-,-,-,-,-,"1,109",-,371,29,-,52,-,48,242,"9,996","8,930",39,"1,027",754
Bulgaria 5 ,-,-,-,-,-,-,-,52,"34,651","27,180","2,824","1,062",449,97,598,"1,011","1,124","16,948","40,003","2,465",,1880 to 1889,"5,248,568","4,638,677","314,787","204,805","109,982","18,738",-,-,"85,342",-,"48,193","1,445,181","1,807","674,061","267,660","52,715","586,441","185,111","401,330","42,910","15,186","5,842","182,698","3,995","81,151","810,900",-,"1,070","71,151","65,797",-,247,-,-,"1,583",-,-,-,-,-,"2,478",-,"1,046","524,826","492,865","2,405","27,323",-,-,-,-,"27,323",279,-,-,-,-,-,-,-,279,"1,954",-,-,-,-,-,-,-,-,-,-,-,-,"1,954",-,763,145,-,21,-,23,574,"12,361","7,250",21,"5,090",790
Czechoslovakia 6,-,-,-,-,-,-,-,-,-,-,"101,182","17,757","8,475","1,624","2,758","5,654","5,678","8,970","18,691","1,510",,1890 to 1899,"3,694,294","3,576,411","534,059","268,218","203,350","19,642",52,-,"56,671",-,"35,616","579,072","12,732","405,710","603,761","29,349","334,058","96,810","237,248","107,793","25,874","6,808","450,101","9,189","37,020","328,759",-,145,"61,285","15,268",-,102,-,-,"13,998",-,-,-,-,-,"27,510",-,"4,407","37,350","3,098",734,"31,480",-,-,-,-,"31,480",649,-,-,-,-,-,-,-,649,"1,389",-,-,-,-,-,-,-,-,-,-,-,-,"1,389",-,432,51,-,9,-,9,363,"4,704","3,098",12,"1,594","14,112"
Denmark,173,927,671,"3,227","13,553","29,278","85,342","56,671","61,227","45,830","34,406","3,470","4,549","10,918","9,797","4,405","4,847","6,189","6,049",545,,1900 to 1909,"8,202,388","7,572,569","2,001,376","532,416","685,567","37,429","34,651",-,"61,227",-,"67,735","328,722","145,402","344,940","1,930,475","42,463","426,981","182,542","244,439",-,"65,154","57,322","1,501,301","24,818","32,541","469,518",-,514,"299,836","19,884",-,"3,026",-,-,"139,712",-,-,-,-,-,"127,999",-,"9,215","277,809","123,067","31,188","100,960",-,-,-,-,"100,960","7,341",77,-,-,-,-,-,-,"7,264","15,253",-,-,-,-,-,-,-,-,-,-,-,-,"15,253",-,"6,326",-,-,-,-,-,"6,326","12,355","11,191",-,"1,164","33,493"
Finland  ,-,-,-,-,-,-,-,-,-,-,"16,922","2,438","2,230","4,923","4,310","2,829","2,569","3,970","3,970",414,,1910 to 1919,"6,347,380","4,985,411","1,154,727","589,174","565,553","32,574","27,180",-,"45,830",-,"60,335","174,227","198,108","166,445","1,229,916","46,065","192,445","79,488","112,957",-,"82,489","13,566","1,106,998","53,262","22,839","371,878",-,"6,527","269,736","20,916",-,"3,478",-,-,"77,125",-,-,-,-,-,"160,717",-,"7,500","1,070,539","708,715","185,334","120,860",-,-,-,-,"120,860","15,692",40,-,-,-,-,-,-,"15,652","39,938",-,-,-,-,-,-,-,-,-,-,-,-,"39,938",-,"8,867",-,-,-,-,-,"8,867","12,339","11,280",-,"1,059",488
France 7,"7,694","39,330","75,300","81,778","35,938","71,901","48,193","35,616","67,735","60,335","54,842","13,761","36,954","50,113","46,975","26,281","32,066","35,945","44,932","4,289",,1920 to 1929,"4,295,510","2,560,340","60,891","31,392","29,499","21,511","2,824","101,182","34,406","16,922","54,842","386,634","60,774","202,854","528,133","29,397","170,329","70,327","100,002","223,316","44,829","67,810","61,604","47,109","31,772","341,552","49,215","22,434","126,740","30,648",-,"2,076",208,-,"42,057",-,-,-,"5,307",-,"40,450",-,"5,994","1,591,278","949,286","498,945","83,482","12,769",-,-,-,"70,713","16,511",285,-,-,-,-,-,-,"16,226","43,025",-,-,"4,627",-,-,-,-,-,-,-,-,-,"38,398",29,"6,362","1,063",-,-,-,-,"5,299","9,860","8,404",935,521,930
"Germany 3, 4","5,753","124,726","385,434","976,072","723,734","751,769","1,445,181","579,072","328,722","174,227","386,634","119,107","119,506","576,905","209,616","77,142","85,752","92,207","122,373","7,929",,1930 to 1939,"699,375","444,399","12,531","5,307","7,224","4,013","1,062","17,757","3,470","2,438","13,761","119,107","10,599","28,195","85,053","7,791","13,452","6,901","6,551","25,555","3,518","5,264","2,463","3,669","5,990","61,813","6,920","9,978","19,231","5,874",-,554,198,-,"2,683",-,-,391,"2,188",-,"1,327",-,"6,016","230,319","162,703","32,709","18,052","10,641","1,026",156,-,"6,229","6,840",193,431,597,423,679,405,"1,452","2,660","9,990","1,067",50,"1,468",347,"1,027",244,131,33,321,25,112,"1,155","4,010",25,"2,120",781,10,35,73,312,909,"3,306","2,260",790,256,-
Greece,17,49,17,32,51,209,"1,807","12,732","145,402","198,108","60,774","10,599","8,605","45,153","74,173","102,370","37,729","25,403","16,841",966,,1940 to 1949,"856,608","472,524","13,574","8,393","5,181","12,473",449,"8,475","4,549","2,230","36,954","119,506","8,605","15,701","50,509","13,877","17,326","8,326","9,000","7,577","6,765","1,254",605,"2,774","9,904","131,794","2,039","5,584","34,532","16,072",-,"1,692","1,144",98,"1,557",-,83,"4,099","1,179",-,754,-,"7,854","328,435","160,911","56,158","46,194","25,976","4,802",823,-,"14,593","20,135",433,"1,965","4,885","1,303","1,874","4,393","5,282",-,"19,662","3,108",893,"3,653","1,320","3,454","2,207",596,85,"1,273",130,754,"2,182",7,"25,375","6,720","1,613",28,37,879,"1,022","3,141","14,262","11,201","2,351",710,135
Ireland 8,"51,617","170,672","656,145","1,029,486","427,419","422,264","674,061","405,710","344,940","166,445","202,854","28,195","15,701","47,189","37,788","11,461","22,210","65,384","15,642","1,610",,1950 to 1959,"2,499,268","1,404,973","113,015","81,354","31,661","18,885",97,"1,624","10,918","4,923","50,113","576,905","45,153","47,189","184,576","46,703","44,224","22,806","21,418","6,465","13,928",914,453,"6,880","17,577","195,709","6,966","11,756","135,844","8,836","13,781","1,850","3,195","21,376","40,651","4,899","4,845","17,245","1,091",721,"2,980",290,"14,084","921,610","353,169","273,847","115,661","73,221","10,219","3,787","7,397","21,037","40,201","1,133","4,044","5,094","4,197","5,320","7,812","12,601",-,"78,418","16,346","2,759","11,547","4,669","15,567","8,574","1,131",576,"5,980",299,"1,026","9,927",17,"60,314","13,016","1,996",302,289,"2,703","2,278","5,448","11,353","8,275","1,799","1,279","12,472"
Italy,430,"2,225","1,476","8,643","9,853","46,296","267,660","603,761","1,930,475","1,229,916","528,133","85,053","50,509","184,576","200,111","150,031","55,562","75,992","28,329","2,956",,1960 to 1969,"3,213,749","1,133,443","27,590","17,571","10,019","9,647",598,"2,758","9,797","4,310","46,975","209,616","74,173","37,788","200,111","37,918","36,150","17,371","18,779","55,742","70,568","2,339","2,329","40,793","19,193","220,213","17,990","6,845","358,605","14,060","67,047","18,638","9,059","30,911","40,956","9,230","27,048","70,660","2,432","15,657","9,464","2,949","40,494","1,674,172","433,128","441,824","427,235","202,030","83,552","28,992","62,218","50,443","98,560","4,185","17,975","14,405","14,357","15,078","10,383","22,177",-,"250,754","49,384","6,205","29,238","12,384","68,371","34,107","4,546","1,249","19,783",612,"4,089","20,758",28,"22,671","23,780","5,581",804,841,"2,880","4,360","9,314","23,630","14,986","3,775","4,869",119
Netherlands,"1,105","1,377","7,624","11,122","8,387","14,267","52,715","29,349","42,463","46,065","29,397","7,791","13,877","46,703","37,918","10,373","11,234","13,345","17,351","1,520",,1970 to 1979,"4,248,203","825,590","20,387","14,239","6,148","5,413","1,011","5,654","4,405","2,829","26,281","77,142","102,370","11,461","150,031","10,373","10,298","3,927","6,371","33,696","104,754","10,774","28,132","41,718","8,536","133,218","31,862","5,245","1,406,544","17,627","117,350","147,997","33,763","36,306","49,392","25,541","241,192","337,726","8,086","83,155","12,209","121,716","174,484","1,904,355","179,267","621,218","708,850","256,497","139,249","55,166","130,226","127,712","120,374","6,747","12,405","29,428","23,837","15,651","10,911","21,395",-,"273,608","30,303","5,635","18,600","15,032","71,265","47,464","38,278","1,486","25,311",714,"8,416","11,007",97,"1,038","71,408","23,543","2,588","2,391","1,967","10,002","30,917","39,980","18,708","5,018","16,254",326
Norway-Sweden 9,91,"1,149","12,389","22,202","82,937","178,823","586,441","334,058","426,981","192,445","170,329","13,452","17,326","44,224","36,150","10,298","13,941","17,825","19,382","1,662",,1980 to 1989,"6,244,379","668,866","20,437","15,374","5,063","7,028","1,124","5,678","4,847","2,569","32,066","85,752","37,729","22,210","55,562","11,234","13,941","3,835","10,106","63,483","42,685","24,753","33,311","22,783","8,316","153,644","16,267","3,447","2,391,356","170,897","112,132","231,649","98,141","43,669","44,150","28,928","322,708","502,056","14,534","119,051","19,208","200,632","483,601","2,695,329","156,313","1,009,586","790,109","132,552","221,552","121,406","193,874","120,725","339,376","14,964","25,017","137,418","58,847","39,071","31,102","32,957",-,"399,862","23,442","9,798","22,944","19,749","105,494","48,015","85,886","3,518","49,958","1,357","7,235","22,405",61,83,"141,990","26,744","12,927","6,420","3,471","15,505","76,923","41,432","16,901","6,129","18,402","305,406"
   Norway 9,-,-,-,-,-,"88,644","185,111","96,810","182,542","79,488","70,327","6,901","8,326","22,806","17,371","3,927","3,835","5,211","4,599",363,,1990 to 1999,"9,775,398","1,348,612","27,529","18,234","9,295","7,077","16,948","8,970","6,189","3,970","35,945","92,207","25,403","65,384","75,992","13,345","17,825","5,211","12,614","172,249","25,497","48,136","433,427","18,443","11,768","156,182","57,039","29,087","2,859,899","342,058","116,894","352,528","76,899","41,340","66,582","42,755","179,770","534,338","22,906","132,647","38,687","275,379","637,116","5,137,743","194,788","2,757,418","1,004,687","159,037","359,818","177,446","177,143","131,243","610,189","12,600","17,054","273,017","126,043","72,880","80,446","28,149",-,"570,624","30,065","18,111","50,744","18,200","137,985","81,358","74,407","6,082","110,117","2,285","6,062","35,180",28,37,"346,416","44,604","40,097","13,587","15,768","21,964","210,396","56,800","24,288","8,600","23,912","25,928"
   Sweden 9,-,-,-,-,-,"90,179","401,330","237,248","244,439","112,957","100,002","6,551","9,000","21,418","18,779","6,371","10,106","12,614","14,783","1,299",,2000 to 2009,"10,299,430","1,348,904","33,929","21,151","12,778","8,157","40,003","18,691","6,049","3,970","44,932","122,373","16,841","15,642","28,329","17,351","19,382","4,599","14,783","117,921","11,479","52,154","167,152","17,695","12,173","171,979","131,831","290,871","3,470,835","591,711","57,583","590,464","76,755","54,081","84,552","53,550","209,758","545,463","30,807","92,657","48,394","289,616","745,444","4,442,226","236,349","1,704,166","1,053,969","271,742","291,492","203,827","172,523","114,385","591,130","9,682","21,571","251,237","156,992","63,513","70,015","18,120",-,"856,593","47,955","21,921","115,404","19,792","236,570","107,977","70,373","4,623","137,614","2,363","9,827","82,087",87,19,"759,742","81,564","87,207","23,316","40,844","32,221","494,590","65,793","32,728","12,495","20,570","211,930"
Poland 3,19,366,105,"1,087","1,886","11,016","42,910","107,793",-,-,"223,316","25,555","7,577","6,465","55,742","33,696","63,483","172,249","117,921","7,391",,2010,"1,042,625","95,379","4,325","3,319","1,006",732,"2,465","1,510",545,414,"4,289","7,929",966,"1,610","2,956","1,520","1,662",363,"1,299","7,391",759,"3,735","7,502","2,040",868,"14,781","4,772","22,608","410,209","67,634","3,263","66,185","9,078","5,172","7,100","9,327","22,022","56,399","7,424","6,785","7,435","30,065","112,320","427,031","19,491","138,717","139,433","33,372","53,890","22,336","19,439","10,396","43,597",997,"2,306","18,547","10,263","6,381","3,476","1,627",-,"85,789","4,312","2,211","12,057","1,940","21,861","11,463","6,441",449,"14,063",202,"1,286","9,497",7,4,"98,246","9,822","13,853","2,924","4,847","2,705","64,095","5,946","3,077","1,046","1,823","5,814"
Portugal 10 ,177,820,196,"1,299","2,083","13,971","15,186","25,874","65,154","82,489","44,829","3,518","6,765","13,928","70,568","104,754","42,685","25,497","11,479",759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania ,-,-,-,-,-,-,"5,842","6,808","57,322","13,566","67,810","5,264","1,254",914,"2,339","10,774","24,753","48,136","52,154","3,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Russia 3, 11",86,280,520,423,"1,670","35,177","182,698","450,101","1,501,301","1,106,998","61,604","2,463",605,453,"2,329","28,132","33,311","433,427","167,152","7,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain 12,"2,595","2,010","1,916","8,795","6,966","5,540","3,995","9,189","24,818","53,262","47,109","3,669","2,774","6,880","40,793","41,718","22,783","18,443","17,695","2,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,"3,148","4,430","4,819","24,423","21,124","25,212","81,151","37,020","32,541","22,839","31,772","5,990","9,904","17,577","19,193","8,536","8,316","11,768","12,173",868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom 8,13","26,336","74,350","218,572","445,322","532,956","578,447","810,900","328,759","469,518","371,878","341,552","61,813","131,794","195,709","220,213","133,218","153,644","156,182","171,979","14,781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia 14,-,-,-,-,-,-,-,-,-,-,"49,215","6,920","2,039","6,966","17,990","31,862","16,267","57,039","131,831","4,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
