Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,3,40,79,4,9,590,"1,070",145,514,"6,527","22,434","9,978","5,584","11,756","6,845","5,245","3,447","29,087","290,871","22,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,34,55,121,"36,080","54,408","134,128","71,151","61,285","299,836","269,736","126,740","19,231","34,532","135,844","358,605","1,406,544","2,391,356","2,859,899","3,470,835","410,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,3,8,32,"35,933","54,028","133,139","65,797","15,268","19,884","20,916","30,648","5,874","16,072","8,836","14,060","17,627","170,897","342,058","591,711","67,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong ,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,781","67,047","117,350","112,132","116,894","57,583","3,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,9,38,33,42,50,166,247,102,"3,026","3,478","2,076",554,"1,692","1,850","18,638","147,997","231,649","352,528","590,464","66,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran ,-,-,-,-,-,-,-,-,-,-,208,198,"1,144","3,195","9,059","33,763","98,141","76,899","76,755","9,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel ,-,-,-,-,-,-,-,-,-,-,-,-,98,"21,376","30,911","36,306","43,669","41,340","54,081","5,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan ,-,-,-,-,138,193,"1,583","13,998","139,712","77,125","42,057","2,683","1,557","40,651","40,956","49,392","44,150","66,582","84,552","7,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan ,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,899","9,230","25,541","28,928","42,755","53,550","9,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea 15,-,-,-,-,-,-,-,-,-,-,-,-,83,"4,845","27,048","241,192","322,708","179,770","209,758","22,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines ,-,-,-,-,-,-,-,-,-,-,-,391,"4,099","17,245","70,660","337,726","502,056","534,338","545,463","56,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria ,-,-,-,-,-,-,-,-,-,-,"5,307","2,188","1,179","1,091","2,432","8,086","14,534","22,906","30,807","7,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan ,-,-,-,-,-,-,-,-,-,-,-,-,-,721,"15,657","83,155","119,051","132,647","92,657","6,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,19,8,45,94,129,382,"2,478","27,510","127,999","160,717","40,450","1,327",754,"2,980","9,464","12,209","19,208","38,687","48,394","7,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam ,-,-,-,-,-,-,-,-,-,-,-,-,-,290,"2,949","121,716","200,632","275,379","289,616","30,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Asia,3,1,11,11,63,248,"1,046","4,407","9,215","7,500","5,994","6,016","7,854","14,084","40,494","174,484","483,601","637,116","745,444","112,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
America,"9,655","31,905","50,516","84,145","130,292","345,010","524,826","37,350","277,809","1,070,539","1,591,278","230,319","328,435","921,610","1,674,172","1,904,355","2,695,329","5,137,743","4,442,226","427,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canada and Newfoundland 16, 17","2,297","11,875","34,285","64,171","117,978","324,310","492,865","3,098","123,067","708,715","949,286","162,703","160,911","353,169","433,128","179,267","156,313","194,788","236,349","19,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mexico 17,18","3,835","7,187","3,069","3,446","1,957","5,133","2,405",734,"31,188","185,334","498,945","32,709","56,158","273,847","441,824","621,218","1,009,586","2,757,418","1,704,166","138,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean,"3,061","11,792","11,803","12,447","8,751","14,285","27,323","31,480","100,960","120,860","83,482","18,052","46,194","115,661","427,235","708,850","790,109","1,004,687","1,053,969","139,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba ,-,-,-,-,-,-,-,-,-,-,"12,769","10,641","25,976","73,221","202,030","256,497","132,552","159,037","271,742","33,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic ,-,-,-,-,-,-,-,-,-,-,-,"1,026","4,802","10,219","83,552","139,249","221,552","359,818","291,492","53,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti ,-,-,-,-,-,-,-,-,-,-,-,156,823,"3,787","28,992","55,166","121,406","177,446","203,827","22,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica 19,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,397","62,218","130,226","193,874","177,143","172,523","19,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Caribbean 19,"3,061","11,792","11,803","12,447","8,751","14,285","27,323","31,480","100,960","120,860","70,713","6,229","14,593","21,037","50,443","127,712","120,725","131,243","114,385","10,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America,57,94,297,512,70,173,279,649,"7,341","15,692","16,511","6,840","20,135","40,201","98,560","120,374","339,376","610,189","591,130","43,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize ,-,-,-,-,-,-,-,-,77,40,285,193,433,"1,133","4,185","6,747","14,964","12,600","9,682",997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica ,-,-,-,-,-,-,-,-,-,-,-,431,"1,965","4,044","17,975","12,405","25,017","17,054","21,571","2,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador ,-,-,-,-,-,-,-,-,-,-,-,597,"4,885","5,094","14,405","29,428","137,418","273,017","251,237","18,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala ,-,-,-,-,-,-,-,-,-,-,-,423,"1,303","4,197","14,357","23,837","58,847","126,043","156,992","10,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras ,-,-,-,-,-,-,-,-,-,-,-,679,"1,874","5,320","15,078","15,651","39,071","72,880","63,513","6,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua ,-,-,-,-,-,-,-,-,-,-,-,405,"4,393","7,812","10,383","10,911","31,102","80,446","70,015","3,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama 20,-,-,-,-,-,-,-,-,-,-,-,"1,452","5,282","12,601","22,177","21,395","32,957","28,149","18,120","1,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Central America ,57,94,297,512,70,173,279,649,"7,264","15,652","16,226","2,660",-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,405,957,"1,062","3,569","1,536","1,109","1,954","1,389","15,253","39,938","43,025","9,990","19,662","78,418","250,754","273,608","399,862","570,624","856,593","85,789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina ,-,-,-,-,-,-,-,-,-,-,-,"1,067","3,108","16,346","49,384","30,303","23,442","30,065","47,955","4,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia ,-,-,-,-,-,-,-,-,-,-,-,50,893,"2,759","6,205","5,635","9,798","18,111","21,921","2,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil ,-,-,-,-,-,-,-,-,-,-,"4,627","1,468","3,653","11,547","29,238","18,600","22,944","50,744","115,404","12,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile ,-,-,-,-,-,-,-,-,-,-,-,347,"1,320","4,669","12,384","15,032","19,749","18,200","19,792","1,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia ,-,-,-,-,-,-,-,-,-,-,-,"1,027","3,454","15,567","68,371","71,265","105,494","137,985","236,570","21,861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador ,-,-,-,-,-,-,-,-,-,-,-,244,"2,207","8,574","34,107","47,464","48,015","81,358","107,977","11,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana ,-,-,-,-,-,-,-,-,-,-,-,131,596,"1,131","4,546","38,278","85,886","74,407","70,373","6,441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay ,-,-,-,-,-,-,-,-,-,-,-,33,85,576,"1,249","1,486","3,518","6,082","4,623",449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru ,-,-,-,-,-,-,-,-,-,-,-,321,"1,273","5,980","19,783","25,311","49,958","110,117","137,614","14,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname ,-,-,-,-,-,-,-,-,-,-,-,25,130,299,612,714,"1,357","2,285","2,363",202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay ,-,-,-,-,-,-,-,-,-,-,-,112,754,"1,026","4,089","8,416","7,235","6,062","9,827","1,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela ,-,-,-,-,-,-,-,-,-,-,-,"1,155","2,182","9,927","20,758","11,007","22,405","35,180","82,087","9,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other South America ,405,957,"1,062","3,569","1,536","1,109","1,954","1,389","15,253","39,938","38,398","4,010",7,17,28,97,61,28,87,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other America 21,-,-,-,-,-,-,-,-,-,-,29,25,"25,375","60,314","22,671","1,038",83,37,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,15,50,61,84,407,371,763,432,"6,326","8,867","6,362","2,120","6,720","13,016","23,780","71,408","141,990","346,416","759,742","98,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt ,-,-,-,-,4,29,145,51,-,-,"1,063",781,"1,613","1,996","5,581","23,543","26,744","44,604","81,564","9,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia ,-,-,-,-,-,-,-,-,-,-,-,10,28,302,804,"2,588","12,927","40,097","87,207","13,853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia ,1,8,5,7,43,52,21,9,-,-,-,35,37,289,841,"2,391","6,420","13,587","23,316","2,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco ,-,-,-,-,-,-,-,-,-,-,-,73,879,"2,703","2,880","1,967","3,471","15,768","40,844","4,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa ,-,-,-,-,35,48,23,9,-,-,-,312,"1,022","2,278","4,360","10,002","15,505","21,964","32,221","2,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Africa,14,42,56,77,325,242,574,363,"6,326","8,867","5,299",909,"3,141","5,448","9,314","30,917","76,923","210,396","494,590","64,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,3,7,14,166,187,"9,996","12,361","4,704","12,355","12,339","9,860","3,306","14,262","11,353","23,630","39,980","41,432","56,800","65,793","5,946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia ,2,1,2,15,-,"8,930","7,250","3,098","11,191","11,280","8,404","2,260","11,201","8,275","14,986","18,708","16,901","24,288","32,728","3,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand ,-,-,-,-,-,39,21,12,-,-,935,790,"2,351","1,799","3,775","5,018","6,129","8,600","12,495","1,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Oceania,1,6,12,151,187,"1,027","5,090","1,594","1,164","1,059",521,256,710,"1,279","4,869","16,254","18,402","23,912","20,570","1,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Not Specified 21, 22","19,523","83,593","7,366","74,399","18,241",754,790,"14,112","33,493",488,930,-,135,"12,472",119,326,"305,406","25,928","211,930","5,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Data for years prior to 1906 refer to country of origin; data from 1906 to 2010 refer to country of last residence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Data for Austria and Hungary not reported separately for all years during 1860 to 1869, 1890 to 1899, 1900 to 1909.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 From 1899 to 1919, data for Poland included in Austria-Hungary, Germany, and the Soviet Union.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 From 1938 to 1945, data for Austria included in Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 From 1899 to 1910, included Serbia and Montenegro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6 Currently includes Czech Republic, Czechoslovakia (former), and Slovakia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 From 1820 to 1910, included Corsica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8 Prior to 1926, data for Northern Ireland included in Ireland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Data for Norway and Sweden not reported separately until 1869.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 From 1820 to 1910, included Cape Verde and Azores Islands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11 From 1820 to 1920, data refer to the Russian Empire. Between 1920 and 1990 data refer to the Soviet Union. From 1991 to 1999, data refer to Russia, Armenia, Azerbaijan, Belarus, Georgia, Kazakhstan, Kyrgyzstan, Moldova, Tajikistan, Turkmenistan, Ukraine, and Uzbekistan. Beginning in 2000, data refer to Russia only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12 From 1820 to 1910, included the Canary Islands and Balearic Islands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13 Since 1925, data for United Kingdom refer to England, Scotland, Wales and Northern Ireland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14 Currently includes Bosnia-Herzegovina, Croatia, Kosovo, Macedonia, Montenegro, Serbia, Slovenia, and Serbia and Montenegro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Korea includes both North and South Korea.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16 Prior to 1911, data refer to British North America. From 1911, data includes Newfoundland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Land arrivals not completely enumerated until 1908.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 No data available for Mexico from 1886 to 1893.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19 Data for Jamaica not reported separately until 1953. Prior to 1953, Jamaica was included in British West Indies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20 From 1932 to 1972, data for the Panama Canal Zone included in Panama.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Included in 'Not Specified' until 1925.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22 Includes 32,897 persons returning in 1906 to their homes in the United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: From 1820 to 1867, figures represent alien passenger arrivals at seaports; from 1868 to 1891 and 1895 to 1897, immigrant alien arrivals; from 1892 to 1894 and 1898 to 2010, immigrant aliens admitted for permanent residence; from 1892 to 1903, aliens entering by cabin class were not counted as immigrants. Land arrivals were not completely enumerated until 1908. For this table, Fiscal Year 1843 covers 9 months ending September, 1843; Fiscal Years 1832 and 1850 cover 15 months ending December 31 of the respective years; and Fiscal Year 1868 covers 6 months ending June 30, 1868.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
