date,Europe," Austria0Hungary 2, 3, 4 ","   Austria 2, 4",   Hungary 2,Belgium,Bulgaria 5 ,Czechoslovakia 6,Denmark,Finland  ,France 7,"Germany 3, 4",Greece,Ireland 8,Italy,Netherlands,Norway0Sweden 9,   Norway 9,   Sweden 9,Poland 3,Portugal 10 ,Romania ,"Russia 3, 11",Spain 12,Switzerland,"United Kingdom 8,13",Yugoslavia 14,Other Europe,Asia,China,Hong Kong ,India,Iran ,Israel ,Japan ,Jordan ,Korea 15,Philippines ,Syria ,Taiwan ,Turkey,Vietnam ,Other Asia,America,"Canada and Newfoundland 16, 17","Mexico 17,18",Caribbean,Cuba ,Dominican Republic ,Haiti ,Jamaica 19,Other Caribbean 19,Central America,Belize ,Costa Rica ,El Salvador ,Guatemala ,Honduras ,Nicaragua ,Panama 20,Other Central America ,South America,Argentina ,Bolivia ,Brazil ,Chile ,Colombia ,Ecuador ,Guyana ,Paraguay ,Peru ,Suriname ,Uruguay ,Venezuela ,Other South America ,Other America 21,Africa,Egypt ,Ethiopia ,Liberia ,Morocco ,South Africa ,Other Africa,Oceania,Australia ,New Zealand ,Other Oceania,"Not Specified 21, 22"
1820,99272,0,0,0,28,0,0,173,0,7694,5753,17,51617,430,1105,91,0,0,19,177,0,86,2595,3148,26336,0,3,34,3,0,9,0,0,0,0,0,0,0,0,19,0,3,9655,2297,3835,3061,0,0,0,0,3061,57,0,0,0,0,0,0,0,57,405,0,0,0,0,0,0,0,0,0,0,0,0,405,0,15,0,0,1,0,0,14,3,2,0,1,19523
1830,422771,0,0,0,20,0,0,927,0,39330,124726,49,170672,2225,1377,1149,0,0,366,820,0,280,2010,4430,74350,0,40,55,8,0,38,0,0,0,0,0,0,0,0,8,0,1,31905,11875,7187,11792,0,0,0,0,11792,94,0,0,0,0,0,0,0,94,957,0,0,0,0,0,0,0,0,0,0,0,0,957,0,50,0,0,8,0,0,42,7,1,0,6,83593
1840,1369259,0,0,0,3996,0,0,671,0,75300,385434,17,656145,1476,7624,12389,0,0,105,196,0,520,1916,4819,218572,0,79,121,32,0,33,0,0,0,0,0,0,0,0,45,0,11,50516,34285,3069,11803,0,0,0,0,11803,297,0,0,0,0,0,0,0,297,1062,0,0,0,0,0,0,0,0,0,0,0,0,1062,0,61,0,0,5,0,0,56,14,2,0,12,7366
1850,2619680,0,0,0,5765,0,0,3227,0,81778,976072,32,1029486,8643,11122,22202,0,0,1087,1299,0,423,8795,24423,445322,0,4,36080,35933,0,42,0,0,0,0,0,0,0,0,94,0,11,84145,64171,3446,12447,0,0,0,0,12447,512,0,0,0,0,0,0,0,512,3569,0,0,0,0,0,0,0,0,0,0,0,0,3569,0,84,0,0,7,0,0,77,166,15,0,151,74399
1860,1877726,3375,2700,483,5785,0,0,13553,0,35938,723734,51,427419,9853,8387,82937,0,0,1886,2083,0,1670,6966,21124,532956,0,9,54408,54028,0,50,0,0,138,0,0,0,0,0,129,0,63,130292,117978,1957,8751,0,0,0,0,8751,70,0,0,0,0,0,0,0,70,1536,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,407,4,0,43,0,35,325,187,0,0,187,18241
1870,2251878,60127,54529,5598,6991,0,0,29278,0,71901,751769,209,422264,46296,14267,178823,88644,90179,11016,13971,0,35177,5540,25212,578447,0,590,134128,133139,0,166,0,0,193,0,0,0,0,0,382,0,248,345010,324310,5133,14285,0,0,0,0,14285,173,0,0,0,0,0,0,0,173,1109,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,371,29,0,52,0,48,242,9996,8930,39,1027,754
1880,4638677,314787,204805,109982,18738,0,0,85342,0,48193,1445181,1807,674061,267660,52715,586441,185111,401330,42910,15186,5842,182698,3995,81151,810900,0,1070,71151,65797,0,247,0,0,1583,0,0,0,0,0,2478,0,1046,524826,492865,2405,27323,0,0,0,0,27323,279,0,0,0,0,0,0,0,279,1954,0,0,0,0,0,0,0,0,0,0,0,0,1954,0,763,145,0,21,0,23,574,12361,7250,21,5090,790
1890,3576411,534059,268218,203350,19642,52,0,56671,0,35616,579072,12732,405710,603761,29349,334058,96810,237248,107793,25874,6808,450101,9189,37020,328759,0,145,61285,15268,0,102,0,0,13998,0,0,0,0,0,27510,0,4407,37350,3098,734,31480,0,0,0,0,31480,649,0,0,0,0,0,0,0,649,1389,0,0,0,0,0,0,0,0,0,0,0,0,1389,0,432,51,0,9,0,9,363,4704,3098,12,1594,14112
1900,7572569,2001376,532416,685567,37429,34651,0,61227,0,67735,328722,145402,344940,1930475,42463,426981,182542,244439,0,65154,57322,1501301,24818,32541,469518,0,514,299836,19884,0,3026,0,0,139712,0,0,0,0,0,127999,0,9215,277809,123067,31188,100960,0,0,0,0,100960,7341,77,0,0,0,0,0,0,7264,15253,0,0,0,0,0,0,0,0,0,0,0,0,15253,0,6326,0,0,0,0,0,6326,12355,11191,0,1164,33493
1910,4985411,1154727,589174,565553,32574,27180,0,45830,0,60335,174227,198108,166445,1229916,46065,192445,79488,112957,0,82489,13566,1106998,53262,22839,371878,0,6527,269736,20916,0,3478,0,0,77125,0,0,0,0,0,160717,0,7500,1070539,708715,185334,120860,0,0,0,0,120860,15692,40,0,0,0,0,0,0,15652,39938,0,0,0,0,0,0,0,0,0,0,0,0,39938,0,8867,0,0,0,0,0,8867,12339,11280,0,1059,488
1920,2560340,60891,31392,29499,21511,2824,101182,34406,16922,54842,386634,60774,202854,528133,29397,170329,70327,100002,223316,44829,67810,61604,47109,31772,341552,49215,22434,126740,30648,0,2076,208,0,42057,0,0,0,5307,0,40450,0,5994,1591278,949286,498945,83482,12769,0,0,0,70713,16511,285,0,0,0,0,0,0,16226,43025,0,0,4627,0,0,0,0,0,0,0,0,0,38398,29,6362,1063,0,0,0,0,5299,9860,8404,935,521,930
1930,444399,12531,5307,7224,4013,1062,17757,3470,2438,13761,119107,10599,28195,85053,7791,13452,6901,6551,25555,3518,5264,2463,3669,5990,61813,6920,9978,19231,5874,0,554,198,0,2683,0,0,391,2188,0,1327,0,6016,230319,162703,32709,18052,10641,1026,156,0,6229,6840,193,431,597,423,679,405,1452,2660,9990,1067,50,1468,347,1027,244,131,33,321,25,112,1155,4010,25,2120,781,10,35,73,312,909,3306,2260,790,256,0
1940,472524,13574,8393,5181,12473,449,8475,4549,2230,36954,119506,8605,15701,50509,13877,17326,8326,9000,7577,6765,1254,605,2774,9904,131794,2039,5584,34532,16072,0,1692,1144,98,1557,0,83,4099,1179,0,754,0,7854,328435,160911,56158,46194,25976,4802,823,0,14593,20135,433,1965,4885,1303,1874,4393,5282,0,19662,3108,893,3653,1320,3454,2207,596,85,1273,130,754,2182,7,25375,6720,1613,28,37,879,1022,3141,14262,11201,2351,710,135
1950,1404973,113015,81354,31661,18885,97,1624,10918,4923,50113,576905,45153,47189,184576,46703,44224,22806,21418,6465,13928,914,453,6880,17577,195709,6966,11756,135844,8836,13781,1850,3195,21376,40651,4899,4845,17245,1091,721,2980,290,14084,921610,353169,273847,115661,73221,10219,3787,7397,21037,40201,1133,4044,5094,4197,5320,7812,12601,0,78418,16346,2759,11547,4669,15567,8574,1131,576,5980,299,1026,9927,17,60314,13016,1996,302,289,2703,2278,5448,11353,8275,1799,1279,12472
1960,1133443,27590,17571,10019,9647,598,2758,9797,4310,46975,209616,74173,37788,200111,37918,36150,17371,18779,55742,70568,2339,2329,40793,19193,220213,17990,6845,358605,14060,67047,18638,9059,30911,40956,9230,27048,70660,2432,15657,9464,2949,40494,1674172,433128,441824,427235,202030,83552,28992,62218,50443,98560,4185,17975,14405,14357,15078,10383,22177,0,250754,49384,6205,29238,12384,68371,34107,4546,1249,19783,612,4089,20758,28,22671,23780,5581,804,841,2880,4360,9314,23630,14986,3775,4869,119
1970,825590,20387,14239,6148,5413,1011,5654,4405,2829,26281,77142,102370,11461,150031,10373,10298,3927,6371,33696,104754,10774,28132,41718,8536,133218,31862,5245,1406544,17627,117350,147997,33763,36306,49392,25541,241192,337726,8086,83155,12209,121716,174484,1904355,179267,621218,708850,256497,139249,55166,130226,127712,120374,6747,12405,29428,23837,15651,10911,21395,0,273608,30303,5635,18600,15032,71265,47464,38278,1486,25311,714,8416,11007,97,1038,71408,23543,2588,2391,1967,10002,30917,39980,18708,5018,16254,326
1980,668866,20437,15374,5063,7028,1124,5678,4847,2569,32066,85752,37729,22210,55562,11234,13941,3835,10106,63483,42685,24753,33311,22783,8316,153644,16267,3447,2391356,170897,112132,231649,98141,43669,44150,28928,322708,502056,14534,119051,19208,200632,483601,2695329,156313,1009586,790109,132552,221552,121406,193874,120725,339376,14964,25017,137418,58847,39071,31102,32957,0,399862,23442,9798,22944,19749,105494,48015,85886,3518,49958,1357,7235,22405,61,83,141990,26744,12927,6420,3471,15505,76923,41432,16901,6129,18402,305406
1990,1348612,27529,18234,9295,7077,16948,8970,6189,3970,35945,92207,25403,65384,75992,13345,17825,5211,12614,172249,25497,48136,433427,18443,11768,156182,57039,29087,2859899,342058,116894,352528,76899,41340,66582,42755,179770,534338,22906,132647,38687,275379,637116,5137743,194788,2757418,1004687,159037,359818,177446,177143,131243,610189,12600,17054,273017,126043,72880,80446,28149,0,570624,30065,18111,50744,18200,137985,81358,74407,6082,110117,2285,6062,35180,28,37,346416,44604,40097,13587,15768,21964,210396,56800,24288,8600,23912,25928
2000,1348904,33929,21151,12778,8157,40003,18691,6049,3970,44932,122373,16841,15642,28329,17351,19382,4599,14783,117921,11479,52154,167152,17695,12173,171979,131831,290871,3470835,591711,57583,590464,76755,54081,84552,53550,209758,545463,30807,92657,48394,289616,745444,4442226,236349,1704166,1053969,271742,291492,203827,172523,114385,591130,9682,21571,251237,156992,63513,70015,18120,0,856593,47955,21921,115404,19792,236570,107977,70373,4623,137614,2363,9827,82087,87,19,759742,81564,87207,23316,40844,32221,494590,65793,32728,12495,20570,211930
2010,95379,4325,3319,1006,732,2465,1510,545,414,4289,7929,966,1610,2956,1520,1662,363,1299,7391,759,3735,7502,2040,868,14781,4772,22608,410209,67634,3263,66185,9078,5172,7100,9327,22022,56399,7424,6785,7435,30065,112320,427031,19491,138717,139433,33372,53890,22336,19439,10396,43597,997,2306,18547,10263,6381,3476,1627,0,85789,4312,2211,12057,1940,21861,11463,6441,449,14063,202,1286,9497,7,4,98246,9822,13853,2924,4847,2705,64095,5946,3077,1046,1823,5814
